imdb_id	title	type	year	genres	rating	votes
tt0048696	Tarantula	movie	1955	Horror,Sci-Fi	6.4	11863
tt32880932	V/H/S/Beyond	movie	2024	Horror,Sci-Fi,Thriller	5.8	11862
tt0339579	Returner	movie	2002	Action,Adventure,Sci-Fi	6.4	11860
tt0325596	The I Inside	movie	2004	Mystery,Sci-Fi,Thriller	6.0	11786
tt0077215	Battlestar Galactica	movie	1978	Action,Adventure,Sci-Fi	6.8	11688
tt1935302	Monsters: Dark Continent	movie	2014	Action,Drama,Sci-Fi	4.3	11682
tt3774790	400 Days	movie	2015	Mystery,Sci-Fi,Thriller	4.4	11676
tt0058379	Mothra vs. Godzilla	movie	1964	Adventure,Fantasy,Sci-Fi	6.5	11658
tt0044876	The Man in the White Suit	movie	1951	Comedy,Drama,Sci-Fi	7.2	11653
tt12800524	Encounter	movie	2021	Drama,Sci-Fi,Thriller	5.9	11599
tt5770864	The Man from Earth: Holocene	movie	2017	Drama,Fantasy,Sci-Fi	5.2	11598
tt0079285	Saturn 3	movie	1980	Adventure,Horror,Sci-Fi	5.1	11552
tt0080421	Battle Beyond the Stars	movie	1980	Action,Adventure,Sci-Fi	5.5	11481
tt0064177	Colossus: The Forbin Project	movie	1970	Sci-Fi,Thriller	7.1	11475
tt0078579	Buck Rogers in the 25th Century	tvSeries	1979	Action,Adventure,Sci-Fi	6.9	11431
tt10758074	The Man Who Fell to Earth	tvSeries	2022	Drama,Sci-Fi	7.2	11426
tt0047577	This Island Earth	movie	1955	Horror,Mystery,Sci-Fi	5.9	11400
tt11541872	Big Bug	movie	2022	Comedy,Sci-Fi	5.5	11378
tt9624766	Jiu Jitsu	movie	2020	Action,Sci-Fi,Thriller	2.9	11341
tt0457275	Altered	movie	2006	Horror,Sci-Fi,Thriller	5.6	11340
tt2967286	Steins;Gate: The Movie - Load Region of Déjà Vu	movie	2013	Animation,Mystery,Sci-Fi	7.8	11288
tt0075931	Demon Seed	movie	1977	Horror,Sci-Fi	6.3	11203
tt2597892	Viral	movie	2016	Drama,Horror,Sci-Fi	5.5	11201
tt0840800	Battlestar Galactica: The Resistance	tvMiniSeries	2006	Drama,Sci-Fi,Short	7.8	11170
tt6560164	Sweetheart	movie	2019	Adventure,Horror,Sci-Fi	5.8	11161
tt0120029	RocketMan	movie	1997	Comedy,Family,Sci-Fi	5.9	11145
tt0102181	Kafka	movie	1991	Drama,Mystery,Sci-Fi	6.8	11115
tt12474056	New Order	movie	2020	Crime,Drama,Sci-Fi	6.5	11062
tt35217961	Baida	movie	2025	Adventure,Sci-Fi,Thriller	4.6	11045
tt0035899	Frankenstein Meets the Wolf Man	movie	1943	Fantasy,Horror,Sci-Fi	6.4	11018
tt0142243	Dragon Ball Z: Wrath of the Dragon	movie	1995	Action,Animation,Sci-Fi	7.4	10955
